Year,Locality,Suburb,State,Postcode,Employed,Unemployed
2016,Aarons Pass NSW 2850,Aarons Pass,NSW,2850,8,0
2016,Abbotsbury NSW 2176,Abbotsbury,NSW,2176,2297,107
2016,Abbotsford NSW 2046,Abbotsford,NSW,2046,2661,95
2016,Abercrombie NSW 2795,Abercrombie,NSW,2795,572,18
2016,Abercrombie River NSW 2795,Abercrombie River,NSW,2795,11,0
2016,Aberdare NSW 2325,Aberdare,NSW,2325,940,139
2016,Aberdeen (NSW) NSW 2336,Aberdeen,NSW,2336,904,62
2016,Aberfoyle NSW 2350,Aberfoyle,NSW,2350,56,4
2016,Aberglasslyn NSW 2320,Aberglasslyn,NSW,2320,2698,165
2016,Abermain NSW 2326,Abermain,NSW,2326,959,91
2016,Abernethy NSW 2325,Abernethy,NSW,2325,118,10
2016,Abington (NSW) NSW 2350,Abington,NSW,2350,8,0
2016,Acacia Creek NSW 2476,Acacia Creek,NSW,2476,15,0
2016,Acacia Gardens NSW 2763,Acacia Gardens,NSW,2763,2083,105
2016,Adaminaby NSW 2629,Adaminaby,NSW,2629,136,4
2016,Adamstown NSW 2289,Adamstown,NSW,2289,3107,215
2016,Adamstown Heights NSW 2289,Adamstown Heights,NSW,2289,2520,138
2016,Adelong NSW 2729,Adelong,NSW,2729,381,29
2016,Adjungbilly NSW 2727,Adjungbilly,NSW,2727,35,5
2016,Afterlee NSW 2474,Afterlee,NSW,2474,18,0
2016,Agnes Banks NSW 2753,Agnes Banks,NSW,2753,460,20
2016,Airds NSW 2560,Airds,NSW,2560,526,186
2016,Akolele NSW 2546,Akolele,NSW,2546,30,3
2016,Albert NSW 2873,Albert,NSW,2873,43,0
2016,Albion Park NSW 2527,Albion Park,NSW,2527,6345,381
2016,Albion Park Rail NSW 2527,Albion Park Rail,NSW,2527,2904,223
2016,Albury NSW 2640,Albury,NSW,2640,2284,132
2016,Aldavilla NSW 2440,Aldavilla,NSW,2440,307,13
2016,Alectown NSW 2870,Alectown,NSW,2870,86,0
2016,Alexandria NSW 2015,Alexandria,NSW,2015,5674,209
2016,Alfords Point NSW 2234,Alfords Point,NSW,2234,1797,69
2016,Alfredtown NSW 2650,Alfredtown,NSW,2650,62,0
2016,Alice NSW 2469,Alice,NSW,2469,0,0
2016,Alison (Central Coast - NSW) NSW 2420,Alison,NSW,2420,45,0
2016,Alison (Dungog - NSW) NSW 2420,Alison,NSW,2420,28,0
2016,Allambie Heights NSW 2100,Allambie Heights,NSW,2100,3381,112
2016,Allandale (NSW) NSW 2320,Allandale,NSW,2320,41,0
2016,Allawah NSW 2218,Allawah,NSW,2218,2937,241
2016,Alleena NSW 2671,Alleena,NSW,2671,27,0
2016,Allgomera NSW 2441,Allgomera,NSW,2441,48,0
2016,Allworth NSW 2425,Allworth,NSW,2425,68,3
2016,Allynbrook NSW 2311,Allynbrook,NSW,2311,34,0
2016,Alma Park NSW 2659,Alma Park,NSW,2659,29,0
2016,Alpine NSW 2575,Alpine,NSW,2575,60,3
2016,Alstonvale NSW 2477,Alstonvale,NSW,2477,227,14
2016,Alstonville NSW 2477,Alstonville,NSW,2477,2213,140
2016,Alumy Creek NSW 2460,Alumy Creek,NSW,2460,39,0
2016,Amaroo (NSW) NSW 2866,Amaroo,NSW,2866,20,0
2016,Ambarvale NSW 2560,Ambarvale,NSW,2560,2927,314
2016,Amosfield NSW 4380,Amosfield,NSW,4380,20,0
2016,Anabranch North NSW 2648,Anabranch North,NSW,2648,3,0
2016,Anabranch South NSW 2648,Anabranch South,NSW,2648,19,0
2016,Anambah NSW 2320,Anambah,NSW,2320,19,3
2016,Ando NSW 2631,Ando,NSW,2631,41,0
2016,Anembo NSW 2621,Anembo,NSW,2621,31,5
2016,Angledale NSW 2550,Angledale,NSW,2550,72,3
2016,Angledool NSW 2834,Angledool,NSW,2834,21,0
2016,Anglers Reach NSW 2629,Anglers Reach,NSW,2629,21,0
2016,Angourie NSW 2464,Angourie,NSW,2464,103,3
2016,Anna Bay NSW 2316,Anna Bay,NSW,2316,1532,113
2016,Annandale (NSW) NSW 2038,Annandale,NSW,2038,5360,238
2016,Annangrove NSW 2156,Annangrove,NSW,2156,777,16
2016,Appin (NSW) NSW 2560,Appin,NSW,2560,1359,44
2016,Apple Tree Flat NSW 2850,Apple Tree Flat,NSW,2850,12,0
2016,Appleby NSW 2340,Appleby,NSW,2340,17,0
2016,Appletree Flat NSW 2330,Appletree Flat,NSW,2330,10,0
2016,Apsley (NSW) NSW 2820,Apsley,NSW,2820,52,0
2016,Arable NSW 2630,Arable,NSW,2630,9,0
2016,Arakoon NSW 2431,Arakoon,NSW,2431,173,12
